source_region,canonical_region,region_group,comment
MOSCOW,Москва,core,английский код
Moscow,Москва,core,английский код
Москва,Москва,core,нормализованное значение
Москва и МО,Москва,core,объединяем с Москвой для общей аналитики
Московская область,Москва,core,объединяем с Москвой для общей аналитики
М,Москва,outlier,техническое сокращение
Мск,Москва,outlier,сокращение
SOUTH,Юг,core,английский код
South,Юг,core,английский код
Юг,Юг,core,нормализованное значение
Юфо,Юг,outlier,сокращение ЮФО
Краснодарский Край,Юг,outlier,частный кейс по географии
SIBERIA,Сибирь,core,английский код
Siberia,Сибирь,core,английский код
Сибирь,Сибирь,core,нормализованное значение
VOLGA,Волга,core,английский код
Volga,Волга,core,английский код
Волга,Волга,core,нормализованное значение
Поволжье,Волга,outlier,синоним
WEST,Северо-Запад,core,английский код
West,Северо-Запад,core,английский код
Запад,Северо-Запад,outlier,сокращённое значение
Северо-Запад,Северо-Запад,core,нормализованное значение
Северо-западный регион,Северо-Запад,core,расширенное название
Санкт-Петербург,Северо-Запад,outlier,город в составе макрорегиона
URAL,Урал,core,английский код
Ural,Урал,core,английский код
Урал,Урал,core,нормализованное значение
Центр,Центр,core,нормализованное значение
Владимирская Область,Центр,outlier,приводим к макрорегиону
Дальний Восток,Дальний Восток,extended,нормализованное значение
Дальний восток,Дальний Восток,extended,разный регистр
Rsd East,Дальний Восток,outlier,английское/внутреннее значение
Восток,Дальний Восток,outlier,синоним
Восток Picos,Дальний Восток,outlier,частный проектный ярлык
