"store_id","network_code","network_name","store_format","city","business_unit","sales_group"
"850023823","LENTA","""ООО ""ЛЕНТА"" ЛЕНТА 072 072  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850023988","METRO","""ООО ""МЕТРО КЭШ ЭНД КЕРРИ"" 18  ""","NATIONAL KEY ACCOUNT","Г. МОСКВА","MOSCOW","MOSCOW"
"850023998","METRO","""ФИЛИАЛ ООО ""МЕТРО КЭШ ЭНД КЕРРИ"" 23  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850024084","PYATEROCHKA","""ООО ""АГРОТОРГ"" 032 - Г.СПБ, КУПЧИНСКАЯ УЛ.,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850024475","PYATEROCHKA","""ООО ""АГРОТОРГ"" 023 - Г.СПБ, КОСТЮШКО УЛ.,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850024645","PYATEROCHKA","""ООО ""АГРОТОРГ"" 018 - Г.СПБ, КУЗНЕЦОВСКАЯ УЛ.,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850024696","LENTA","""ООО ""ЛЕНТА"" ЛЕНТА 003 003  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850024697","LENTA","""ООО ""ЛЕНТА"" ЛЕНТА 004 004  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850024730","PYATEROCHKA","""ООО ""АГРОТОРГ"" 038 - Г.КОЛПИНО, ПРОЛЕТАРСКАЯ  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. КОЛПИНО","WEST","LENINGRADSKAYA OBL"
"850024928","PYATEROCHKA","""ООО ""АГРОТОРГ"" 007 - Г.ТОСНО, ЛЕНИНА ПР-Т,  ""","NATIONAL KEY ACCOUNT","Г. ТОСНО","WEST","LENINGRADSKAYA OBL"
"850025403","PYATEROCHKA","""ООО ""АГРОТОРГ"" 019 - Г.СПБ, ВИТЕБСКИЙ ПР-Т,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850025422","KOMANDOR","""ООО ""ТОРГОВАЯ СЕТЬ КОМАНДОР"" К - 4  ""","LOCAL KEY ACCOUNT","Г. КРАСНОЯРСК","SIBERIA","KRASNOYARSK"
"850025517","PYATEROCHKA","""ООО ""АГРОТОРГ"" 035 - Г.КОЛПИНО, ПАВЛОВСКАЯ УЛ  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. КОЛПИНО","WEST","LENINGRADSKAYA OBL"
"850025528","PYATEROCHKA","""ООО ""АГРОТОРГ"" 033 - Г.ЛОМОНОСОВ, ОРАНИЕНБАУМ  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. ЛОМОНОСОВ","WEST","SAINT-PETERSBURG"
"850025912","PYATEROCHKA","""ООО ""АГРОТОРГ"" 081 - Г.СПБ, ТОВАРИЩЕСКИЙ ПР-Т  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850025924","PYATEROCHKA","""ООО ""АГРОТОРГ"" 080 - Г.СПБ, НАРОДНОГО ОПОЛЧЕН  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850025930","PYATEROCHKA","""ООО ""АГРОТОРГ"" 100 - Г.СПБ, КОСМОНАВТОВ ПР-Т,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850026016","PYATEROCHKA","""ООО ""АГРОТОРГ"" 069 - Г.СПБ, МАРШАЛА ЖУКОВА ПР  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850026249","PYATEROCHKA","""ООО ""АГРОТОРГ"" 046-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850026388","KHOROSHIY","""ООО ""ТОРГОВАЯ СЕТЬ КОМАНДОР"" К - 19  ""","LOCAL KEY ACCOUNT","Г. КРАСНОЯРСК","SIBERIA","KRASNOYARSK"
"850026389","KHOROSHIY","""ООО ""ТОРГОВАЯ СЕТЬ КОМАНДОР"" К - 18  ""","LOCAL KEY ACCOUNT","Г. КРАСНОЯРСК","SIBERIA","KRASNOYARSK"
"850026397","MONETKA","""ООО ""ЭЛЕМЕНТ-ТРЕЙД"" 112  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850026408","PYATEROCHKA","""ООО ""АГРОТОРГ"" 347-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. КИРИШИ","WEST","LENINGRADSKAYA OBL"
"850026465","METRO","""ООО ""МЕТРО КЭШ ЭНД КЕРРИ"" 19  ""","NATIONAL KEY ACCOUNT","Г. МОСКВА","MOSCOW","MOSCOW"
"850026501","PYATEROCHKA","""ООО ""АГРОТОРГ"" 388-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ТИХВИН","WEST","LENINGRADSKAYA OBL"
"850026606","LENTA","""ООО ""ЛЕНТА"" ЛЕНТА 071 071  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК, ОКТЯБРЬСКИЙ Р-Н","SIBERIA","NOVOSIBIRSK"
"850026615","BAHETLE","""ООО ""БАХЕТЛЕ-1""   ""","LOCAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850026666","AUCHAN","""ООО ""АШАН"" (201) EKATERINBURG  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850026701","PYATEROCHKA","""ООО ""АГРОТОРГ"" 356-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ГАТЧИНА","WEST","LENINGRADSKAYA OBL"
"850026760","KOMANDOR","""ООО ""ТОРГОВАЯ СЕТЬ КОМАНДОР"" К - 15  ""","LOCAL KEY ACCOUNT","Г. СОСНОВОБОРСК","SIBERIA","KRASNOYARSK"
"850026912","MONETKA","""ООО ""ЭЛЕМЕНТ-ТРЕЙД"" 117  ""","NATIONAL KEY ACCOUNT","Г. БЕРЕЗОВСКИЙ","CENTRE","EKATERINBURG"
"850027074","PYATEROCHKA","""ООО ""АГРОТОРГ"" 366-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ЛУГА","WEST","LENINGRADSKAYA OBL"
"850027192","PYATEROCHKA","""ООО ""АГРОТОРГ"" 367-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850027245","AUCHAN","""ООО ""АШАН"" (008) RYAZANKA  ""","NATIONAL KEY ACCOUNT","Г. МОСКВА","MOSCOW","MOSCOW"
"850027246","AUCHAN","""ООО ""АШАН"" (009) RUBLEVKA  ""","NATIONAL KEY ACCOUNT","Г. МОСКВА","MOSCOW","MOSCOW"
"850027573","PYATEROCHKA","""ООО ""АГРОТОРГ"" 176 - Г.СПБ, ТЕЛЬМАНА УЛ.,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850027607","PYATEROCHKA","""ООО ""АГРОТОРГ"" 118 - Г.СПБ, КРАСНОЕ СЕЛО, СТР  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. КРАСНОЕ СЕЛО","WEST","LENINGRADSKAYA OBL"
"850027854","PYATEROCHKA","""ООО ""АГРОТОРГ"" 020 - Г.СПБ, ПЛОВДИВСКАЯ УЛ.  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850027957","PYATEROCHKA","""ООО ""АГРОТОРГ"" 068 - Г.ПЕТРОДВОРЕЦ, РАЗВОДНАЯ  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. ПЕТЕРГОФ","WEST","SAINT-PETERSBURG"
"850028026","PYATEROCHKA","""ООО ""АГРОТОРГ"" 026 - Г.СПБ, ОРДЖОНИКИДЗЕ УЛ.  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850028109","PYATEROCHKA","""ООО ""АГРОТОРГ"" 055 - Г.СПБ, КАРАВАЕВСКАЯ УЛ.,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","LENINGRADSKAYA OBL"
"850028204","PYATEROCHKA","""ООО ""АГРОТОРГ"" 057 - Г.ПУШКИН, ЛЕНИНГРАДСКАЯ  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. ПУШКИН","WEST","LENINGRADSKAYA OBL"
"850028211","PYATEROCHKA","""ООО ""АГРОТОРГ"" 060 - Г.КОЛПИНО, ТРУДЯЩИХСЯ Б-  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. КОЛПИНО","WEST","LENINGRADSKAYA OBL"
"850028212","PYATEROCHKA","""ООО ""АГРОТОРГ"" 061-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850028225","PYATEROCHKA","""ООО ""АГРОТОРГ"" 092 - Г.ПУШКИН, ГЕНЕРАЛА ХАЗОВ  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. ПУШКИН","WEST","LENINGRADSKAYA OBL"
"850028434","PYATEROCHKA","""ООО ""АГРОТОРГ"" 376-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ЛУГА","WEST","LENINGRADSKAYA OBL"
"850028583","PYATEROCHKA","""ООО ""АГРОТОРГ"" 098 - Г.СПБ, БУДАПЕШТСКАЯ УЛ.  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850028617","PYATEROCHKA","""ООО ""АГРОТОРГ"" 190 - Г.СПБ, ВАРШАВСКАЯ УЛ.,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850028722","AUCHAN","""ООО ""АШАН"" (101) DYBENKO  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850029189","PYATEROCHKA","""ООО ""АГРОТОРГ"" 365-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. СОСНОВЫЙ БОР","WEST","LENINGRADSKAYA OBL"
"850029247","PYATEROCHKA","""ООО ""АГРОТОРГ"" 344-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. КОЛПИНО","WEST","LENINGRADSKAYA OBL"
"850029764","PYATEROCHKA","""ООО ""АГРОТОРГ"" 191 - Г.СПБ, ЛЕТЧИКА ПИЛЮТОВА  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850029834","MONETKA","""ООО ""ЭЛЕМЕНТ-ТРЕЙД"" 52  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850029886","PYATEROCHKA","""ООО ""АГРОТОРГ"" 174 - Г.КОЛПИНО, ЗАВОДСКОЙ ПР-  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ, Г. КОЛПИНО","WEST","LENINGRADSKAYA OBL"
"850029981","PYATEROCHKA","""ООО ""АГРОТОРГ"" 307-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850030074","PYATEROCHKA","""ООО ""АГРОТОРГ"" 338-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","LENINGRADSKAYA OBL"
"850030222","BAHETLE","""ООО ""БАХЕТЛЕ-1"" (ФИЛИАЛ)  ""","LOCAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850030325","METRO","""ФИЛИАЛ ООО ""МЕТРО КЭШ ЭНД КЕРРИ"" 29  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850030328","PYATEROCHKA","""ООО ""АГРОТОРГ"" 312 - Г.СПБ, БУХАРЕСТСКАЯ УЛ.,  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
