"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3000023_1000039_20260729","850026249_20260729_1675","29.07.2026 0:00:00","850026249","3000023"
"3000023_1000063_20260731","850028109_20260731_0321","31.07.2026 0:00:00","850028109","3000023"
"3000023_1000088_20260707","850029981_20260707_0967","07.07.2026 0:00:00","850029981","3000023"
"3000023_1000088_20260714","850029981_20260714_0967","14.07.2026 0:00:00","850029981","3000023"
"3000023_1000088_20260717","850029981_20260717_0967","17.07.2026 0:00:00","850029981","3000023"
"3000023_1000088_20260721","850029981_20260721_0967","21.07.2026 0:00:00","850029981","3000023"
"3000023_1000088_20260724","850029981_20260724_0967","24.07.2026 0:00:00","850029981","3000023"
"3000023_1000090_20260731","850030074_20260731_0321","31.07.2026 0:00:00","850030074","3000023"
"3000023_1000100_20260713","850030512_20260713_0967","13.07.2026 0:00:00","850030512","3000023"
"3000023_1000100_20260716","850030512_20260716_0967","16.07.2026 0:00:00","850030512","3000023"
"3000023_1000100_20260720","850030512_20260720_0967","20.07.2026 0:00:00","850030512","3000023"
"3000023_1000100_20260723","850030512_20260723_0967","23.07.2026 0:00:00","850030512","3000023"
"3000023_1000121_20260731","850031665_20260731_0321","31.07.2026 0:00:00","850031665","3000023"
"3000023_1000276_20260713","850063025_20260713_0967","13.07.2026 0:00:00","850063025","3000023"
"3000023_1000276_20260716","850063025_20260716_0967","16.07.2026 0:00:00","850063025","3000023"
"3000023_1000276_20260720","850063025_20260720_0967","20.07.2026 0:00:00","850063025","3000023"
"3000023_1000276_20260723","850063025_20260723_0967","23.07.2026 0:00:00","850063025","3000023"
"3000023_1000661_20260729","850196953_20260729_1675","29.07.2026 0:00:00","850196953","3000023"
"3000023_1001163_20260727","850269205_20260727_1675","27.07.2026 0:00:00","850269205","3000023"
"3000023_1001163_20260729","850269205_20260729_1675","29.07.2026 0:00:00","850269205","3000023"
"3000023_1001264_20260707","850278231_20260707_0967","07.07.2026 0:00:00","850278231","3000023"
"3000023_1001264_20260710","850278231_20260710_0967","10.07.2026 0:00:00","850278231","3000023"
"3000023_1001264_20260714","850278231_20260714_0967","14.07.2026 0:00:00","850278231","3000023"
"3000023_1001264_20260717","850278231_20260717_0967","17.07.2026 0:00:00","850278231","3000023"
"3000023_1001264_20260721","850278231_20260721_0967","21.07.2026 0:00:00","850278231","3000023"
"3000023_1001264_20260724","850278231_20260724_0967","24.07.2026 0:00:00","850278231","3000023"
"3000023_1001324_20260731","850280340_20260731_0321","31.07.2026 0:00:00","850280340","3000023"
"3000023_1001342_20260728","850280696_20260728_1675","28.07.2026 0:00:00","850280696","3000023"
"3000023_1001408_20260708","850285674_20260708_0967","08.07.2026 0:00:00","850285674","3000023"
"3000023_1001408_20260717","850285674_20260717_0967","17.07.2026 0:00:00","850285674","3000023"
"3000023_1001408_20260724","850285674_20260724_0967","24.07.2026 0:00:00","850285674","3000023"
