"category","database_name","schema_name","table_name","object_type","column_name","data_type"
"ТТ, маршруты и визиты","HnnDW","dbo","Dim_POSList","TABLE","ADDRESS","nvarchar"
"Сети и клиенты","HnnDW","dbo","Dim_POSList","TABLE","CLIENT","nvarchar"
"Сети и клиенты","HnnDW","dbo","Dim_POSList","TABLE","CUSTOMER_GROUP","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Dim_POSList","TABLE","ROUTE_NAME","nvarchar"
"Сети и клиенты","HnnDW","dbo","Dim_POSList","TABLE","ClientName","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","DIM_Survey","TABLE","VisitRelated","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing","VIEW","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing","VIEW","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing","VIEW","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing","VIEW","VISIT_IS_PLANED","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing","VIEW","ROUTE_TYPE","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing","VIEW","VISIT_LINK","nvarchar"
"KPI","HnnDW","dbo","Fact_Facing","VIEW","PICOS","bit"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202211","TABLE","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202211","TABLE","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202211","TABLE","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202211","TABLE","VISIT_IS_PLANED","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202211","TABLE","ROUTE_TYPE","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202211","TABLE","VISIT_LINK","nvarchar"
"KPI","HnnDW","dbo","Fact_Facing_202211","TABLE","PICOS","bit"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202212","TABLE","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202212","TABLE","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202212","TABLE","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202212","TABLE","VISIT_IS_PLANED","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202212","TABLE","ROUTE_TYPE","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202212","TABLE","VISIT_LINK","nvarchar"
"KPI","HnnDW","dbo","Fact_Facing_202212","TABLE","PICOS","bit"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202301","TABLE","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202301","TABLE","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202301","TABLE","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202301","TABLE","VISIT_IS_PLANED","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202301","TABLE","ROUTE_TYPE","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202301","TABLE","VISIT_LINK","nvarchar"
"KPI","HnnDW","dbo","Fact_Facing_202301","TABLE","PICOS","bit"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202302","TABLE","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202302","TABLE","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202302","TABLE","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202302","TABLE","VISIT_IS_PLANED","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202302","TABLE","ROUTE_TYPE","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202302","TABLE","VISIT_LINK","nvarchar"
"KPI","HnnDW","dbo","Fact_Facing_202302","TABLE","PICOS","bit"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202303","TABLE","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202303","TABLE","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202303","TABLE","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202303","TABLE","VISIT_IS_PLANED","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202303","TABLE","ROUTE_TYPE","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202303","TABLE","VISIT_LINK","nvarchar"
"KPI","HnnDW","dbo","Fact_Facing_202303","TABLE","PICOS","bit"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202304","TABLE","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202304","TABLE","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202304","TABLE","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202304","TABLE","VISIT_IS_PLANED","int"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202304","TABLE","ROUTE_TYPE","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202304","TABLE","VISIT_LINK","nvarchar"
"KPI","HnnDW","dbo","Fact_Facing_202304","TABLE","PICOS","bit"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202305","TABLE","VISIT_ID","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202305","TABLE","VISIT_DATE","datetime"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202305","TABLE","VISIT_STATUS","nvarchar"
"ТТ, маршруты и визиты","HnnDW","dbo","Fact_Facing_202305","TABLE","VISIT_IS_PLANED","int"
