"database_name","schema_name","table_name","object_type","approximate_rows","create_date","modify_date"
"HnnDW","dbo","DIM_Agents","TABLE","18541","24.07.2024 20:12:12","31.03.2026 12:54:41"
"HnnDW","dbo","DIM_Attributes","TABLE","65045","24.07.2024 20:11:40","24.07.2024 20:11:40"
"HnnDW","dbo","DIM_Matrix","TABLE","64877","24.07.2024 20:11:05","24.07.2024 20:11:05"
"HnnDW","dbo","DIM_OOS_Reason","TABLE","24","24.07.2024 20:11:05","24.07.2024 20:11:05"
"HnnDW","dbo","Dim_POSList","TABLE","639348","09.02.2023 14:59:39","15.04.2026 16:16:35"
"HnnDW","dbo","Dim_Posms","TABLE","32","08.11.2024 21:24:37","10.11.2025 14:37:09"
"HnnDW","dbo","Dim_Products","TABLE","2405","19.12.2022 19:31:02","10.11.2025 14:37:09"
"HnnDW","dbo","DIM_Survey","TABLE","81","10.11.2025 14:37:09","15.04.2026 16:16:36"
"HnnDW","dbo","Dim_Survey_Questions","TABLE","415","10.11.2025 14:37:09","15.04.2026 16:16:36"
"HnnDW","dbo","DIM_Survey_Sections","TABLE","285","10.11.2025 14:37:09","15.04.2026 16:16:36"
"HnnDW","dbo","DS_ExecutedScripts","TABLE","1","11.10.2024 11:55:39","11.10.2024 11:55:39"
"HnnDW","dbo","DW_Options","TABLE","4","19.12.2022 19:31:02","19.12.2022 19:31:02"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","42330166","24.07.2024 20:11:40","15.04.2026 16:16:35"
"HnnDW","dbo","FACT_Faces_MustTop","TABLE","1054642","24.07.2024 20:11:40","15.04.2026 16:16:35"
"HnnDW","dbo","FACT_FacesItemsAttributes","TABLE","57208276","08.09.2025 13:59:35","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_Facing","VIEW","0","31.08.2026 23:00:22","31.08.2026 23:00:22"
"HnnDW","dbo","Fact_Facing_202211","TABLE","2744","24.07.2024 22:26:08","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202212","TABLE","461233","24.07.2024 22:51:58","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202301","TABLE","1327697","25.07.2024 10:22:56","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202302","TABLE","13010777","25.07.2024 13:26:43","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202303","TABLE","35922129","25.07.2024 18:35:18","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202304","TABLE","53196295","26.07.2024 1:08:07","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202305","TABLE","59596226","26.07.2024 9:27:51","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202306","TABLE","51985390","26.07.2024 19:19:26","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202307","TABLE","65806335","27.07.2024 3:50:53","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202308","TABLE","97005171","27.07.2024 13:37:52","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202309","TABLE","88055935","28.07.2024 4:22:43","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202310","TABLE","85080936","28.07.2024 18:45:58","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202311","TABLE","87007548","29.07.2024 13:54:09","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202312","TABLE","84551831","30.07.2024 7:30:25","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202401","TABLE","66622086","16.08.2024 12:30:26","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202402","TABLE","56505174","18.08.2024 16:49:15","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202403","TABLE","51261615","18.08.2024 21:26:52","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202404","TABLE","48987739","19.08.2024 2:07:35","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202405","TABLE","77411373","19.08.2024 6:30:18","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202406","TABLE","73999585","19.08.2024 14:44:39","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202407","TABLE","83356120","19.08.2024 23:38:27","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202408","TABLE","80937680","26.08.2024 16:33:49","15.04.2026 16:16:36"
