"list_type","list_name","list_ids","products","min_start_date","max_end_date"
"MUST","BabyStore","1","21","25.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","BU CENTER SIBERIA","1","98","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU EAST SIBERIA","1","98","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU EKATERINBURG","1","98","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU KRASNODAR","1","101","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU MOSCOW (CITY)","1","109","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU MOSCOW REGION","1","109","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU N.NOVGOROD","1","100","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU NORTH CAUCASIAN","1","101","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU NW REGION","1","102","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU SOUTH URAL","1","101","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU ST. PETERBURG","1","111","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU TULA","1","100","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU VOLGA","1","102","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU VOLGOGRAD","1","101","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","BU WEST SIBERIA","1","98","28.11.2022 0:00:00","11.08.2024 0:00:00"
"MUST","DISCOUNTER","1","64","12.08.2024 0:00:00","31.12.2999 23:59:59"
"MUST","HYPERMARKET","1","92","12.08.2024 0:00:00","31.12.2999 23:59:59"
"MUST","HYPERMARKET L","1","132","25.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","HYPERMARKET S","1","132","16.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","MINIMARKET","1","60","12.08.2024 0:00:00","31.12.2999 23:59:59"
"MUST","MINIMARKET L","1","76","25.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","MINIMARKET M","1","76","25.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","MINIMARKET S","1","76","25.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","SUPERMARKET","1","81","12.08.2024 0:00:00","31.12.2999 23:59:59"
"MUST","SUPERMARKET L","1","118","25.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","SUPERMARKET M","1","118","25.04.2025 0:00:00","31.12.2999 23:59:59"
"MUST","SUPERMARKET S","1","118","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","BabyStore","1","21","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","BU CENTER SIBERIA","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU EAST SIBERIA","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU EKATERINBURG","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU KRASNODAR","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU N.NOVGOROD","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU NORTH CAUCASIAN","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU NW REGION","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU SOUTH URAL","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU TULA","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU VOLGA","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU VOLGOGRAD","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","BU WEST SIBERIA","1","26","28.11.2022 0:00:00","11.08.2024 0:00:00"
"Top","DISCOUNTER","1","27","12.08.2024 0:00:00","31.12.2999 23:59:59"
"Top","HYPERMARKET","1","22","12.08.2024 0:00:00","31.12.2999 23:59:59"
"Top","HYPERMARKET L","1","26","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","HYPERMARKET S","1","26","16.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","MINIMARKET","1","22","12.08.2024 0:00:00","31.12.2999 23:59:59"
"Top","MINIMARKET L","1","26","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","MINIMARKET M","1","26","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","MINIMARKET S","1","26","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","SUPERMARKET","1","22","12.08.2024 0:00:00","31.12.2999 23:59:59"
"Top","SUPERMARKET L","1","26","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","SUPERMARKET M","1","26","25.04.2025 0:00:00","31.12.2999 23:59:59"
"Top","SUPERMARKET S","1","26","25.04.2025 0:00:00","31.12.2999 23:59:59"
