"year_month","territory_role","route_rows","visits","territory_ids","rows_without_territory_id"
"202601","Мерчандайзер","28687","28687","847","0"
"202602","Мерчандайзер","42439","42439","853","0"
"202603","Мерчандайзер","46568","46446","857","0"
"202603","Тим Лид","101592","101592","53","0"
"202604","Мерчандайзер","47474","47453","858","0"
"202604","Тим Лид","2474","2474","50","0"
"202605","Мерчандайзер","41519","41490","858","0"
"202606","Мерчандайзер","75421","75296","1322","0"
"202607","Мерчандайзер","91665","91593","1317","0"
"202608","Мерчандайзер","84005","83971","1311","0"
"202608","Тим Лид","1","1","1","0"
