"network_code","network_name","list_type","stores","list_ids"
"MAGNIT","""АО ""ТАНДЕР""   ""","MUST","329","5"
"MAGNIT","""АО ""ТАНДЕР""   ""","Top","329","5"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР""   ""","MUST","67","1"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР""   ""","Top","67","1"
"AVOSIKA","""ООО ""АВОСЬКА-ДВА""   ""","MUST","22","2"
"AVOSIKA","""ООО ""АВОСЬКА-ДВА""   ""","Top","22","2"
"SPAR","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","MUST","18","5"
"SPAR","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","Top","18","5"
"KARAVAN","""ООО ""КАРАВАН 24""   ""","MUST","17","3"
"KARAVAN","""ООО ""КАРАВАН 24""   ""","Top","17","3"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР - ЦЕНТР""   ""","MUST","14","1"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР - ЦЕНТР""   ""","Top","14","1"
"PYATEROCHKA","""ООО ""АГРОТОРГ""   ""","MUST","14","3"
"PYATEROCHKA","""ООО ""АГРОТОРГ""   ""","Top","14","3"
"ATAC","""ООО ""АТАК"" ООО ""АТАК""  ""","MUST","12","3"
"ATAC","""ООО ""АТАК"" ООО ""АТАК""  ""","Top","12","3"
"BAHETLE","""ООО ""БАХЕТЛЕ-1""   ""","MUST","10","3"
"BAHETLE","""ООО ""БАХЕТЛЕ-1""   ""","Top","10","3"
"DC VICTORIA","""ООО ""ВИКТОРИЯ БАЛТИЯ""   ""","MUST","9","1"
"DC VICTORIA","""ООО ""ВИКТОРИЯ БАЛТИЯ""   ""","Top","9","1"
"KHLEB-SOL'","""ООО МАЯК   ""","MUST","9","1"
"KHLEB-SOL'","""ООО МАЯК   ""","Top","9","1"
"KRASNY YAR","""ООО ""СМАРТ""   ""","MUST","9","3"
"KRASNY YAR","""ООО ""СМАРТ""   ""","Top","9","3"
"BELOE MOLOKO","""АО ФИРМА ОРТ ""УНИВЕРСАЛ""""","MUST","8","1"
"PEREKRESTOK","""АО ""ТОРГОВЫЙ ДОМ ""ПЕРЕКРЕСТОК""   ""","MUST","8","2"
"PEREKRESTOK","""АО ""ТОРГОВЫЙ ДОМ ""ПЕРЕКРЕСТОК""   ""","Top","8","2"
"TITAN DV","""ООО РТС ""ТИТАН""   ""","MUST","8","3"
"TITAN DV","""ООО РТС ""ТИТАН""   ""","Top","8","3"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА   ""","MUST","7","2"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА   ""","Top","7","2"
"DESYATOCHKA","""ИП ЗАБЕЛИН АЛЕКСАНДР ВЛАДИМИРОВИЧ   ""","MUST","6","1"
"DESYATOCHKA","""ИП ЗАБЕЛИН АЛЕКСАНДР ВЛАДИМИРОВИЧ   ""","Top","6","1"
"DIXY","""АО ""ДИКСИ ЮГ""   ""","MUST","6","2"
"DIXY","""АО ""ДИКСИ ЮГ""   ""","Top","6","2"
"LENTA EXPRESS","""ООО ""ЛЕНТА ЦЕНТР""   ""","MUST","6","2"
"LENTA EXPRESS","""ООО ""ЛЕНТА ЦЕНТР""   ""","Top","6","2"
"SPAR","""ООО ""СЛАДКАЯ ЖИЗНЬ Н.Н."" 0  ""","MUST","6","2"
"SPAR","""ООО ""СЛАДКАЯ ЖИЗНЬ Н.Н."" 0  ""","Top","6","2"
"TITAN DV","""ИП БРЕДНИЙ РАИСА ИННОКЕНТЬЕВНА   ""","MUST","6","2"
"TITAN DV","""ИП БРЕДНИЙ РАИСА ИННОКЕНТЬЕВНА   ""","Top","6","2"
"VERNIY","""ООО ""СОЮЗ СВЯТОГО ИОАННА ВОИНА""   ""","MUST","6","3"
"VERNIY","""ООО ""СОЮЗ СВЯТОГО ИОАННА ВОИНА""   ""","Top","6","3"
"DETSKIY MIR","""ОСП ПАО ""ДЕТСКИЙ МИР""   ""","MUST","5","1"
"DETSKIY MIR","""ОСП ПАО ""ДЕТСКИЙ МИР""   ""","Top","5","1"
"PEREKRESTOK","""АО ""ТД ""ПЕРЕКРЕСТОК""   ""","MUST","5","1"
"PEREKRESTOK","""АО ""ТД ""ПЕРЕКРЕСТОК""   ""","Top","5","1"
"SPAR SH","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","MUST","5","2"
"SPAR SH","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","Top","5","2"
"ZELGROS","""ООО ""ЗЕЛЬГРОС""   ""","MUST","5","1"
"ZELGROS","""ООО ""ЗЕЛЬГРОС""   ""","Top","5","1"
"AGAT","""ТОП ООО ТОРГОВЫЙ ДОМ ""АГАТ""   ""","MUST","4","2"
"AGAT","""ТОП ООО ТОРГОВЫЙ ДОМ ""АГАТ""   ""","Top","4","2"
"BAHETLE","""ООО ""БАХЕТЛЕ-1"" (ФИЛИАЛ)  ""","MUST","4","2"
"BAHETLE","""ООО ""БАХЕТЛЕ-1"" (ФИЛИАЛ)  ""","Top","4","2"
"KHLEB-SOL'","""ООО ""МАЯК"" -  ""","MUST","4","1"
"KHLEB-SOL'","""ООО ""МАЯК"" -  ""","Top","4","1"
"NIKOLAEVSKY","""ООО ""ЛОГИСТИКА"" -  ""","MUST","4","2"
"NIKOLAEVSKY","""ООО ""ЛОГИСТИКА"" -  ""","Top","4","2"
"ATAC","""ООО ""АТАК"" АТАК  ""","MUST","3","2"
"ATAC","""ООО ""АТАК"" АТАК  ""","Top","3","2"
"DESYATOCHKA","""ИП БАУКИНА ЕЛЕНА ЛЕОНИДОВНА   ""","MUST","3","1"
"DESYATOCHKA","""ИП ВОСКРЕСЕНСКАЯ ИРИНА АЛЕКСАНДРОВНА   ""","MUST","3","1"
"DESYATOCHKA","""ИП БАУКИНА ЕЛЕНА ЛЕОНИДОВНА   ""","Top","3","1"
"DESYATOCHKA","""ИП ВОСКРЕСЕНСКАЯ ИРИНА АЛЕКСАНДРОВНА   ""","Top","3","1"
"LENTA EXPRESS","""ООО ""ЛЕНТА""   ""","MUST","3","2"
"LENTA EXPRESS","""ООО ""ЛЕНТА""   ""","Top","3","2"
"METROPOLIS","""ООО ""КОМПАНИЯ ""МЕТРОПОЛИС""   ""","MUST","3","3"
"METROPOLIS","""ООО ""КОМПАНИЯ ""МЕТРОПОЛИС""   ""","Top","3","3"
"STOPCEN","""ООО ""ТОРГЭКОНОМ""   ""","MUST","3","1"
"STOPCEN","""ООО ""ТОРГЭКОНОМ""   ""","Top","3","1"
"TITAN DV","""ООО ""СЕЛЕНГА""   ""","MUST","3","1"
"TITAN DV","""ИП БРЕДНИЙ ВАДИМ ВИТАЛЬЕВИЧ   ""","MUST","3","1"
"TITAN DV","""ООО ""РЕГИОН""   ""","MUST","3","1"
"TITAN DV","""ООО ""СЕЛЕНГА""   ""","Top","3","1"
"TITAN DV","""ИП БРЕДНИЙ ВАДИМ ВИТАЛЬЕВИЧ   ""","Top","3","1"
"TITAN DV","""ООО ""РЕГИОН""   ""","Top","3","1"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА ""","MUST","2","1"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА ""","Top","2","1"
"AVOSIKA","""ООО ""ОРИЕНТ-СЕРВИС ПЛЮС""   ""","MUST","2","1"
"AVOSIKA","""ООО ""ОРИЕНТ-СЕРВИС ПЛЮС""   ""","Top","2","1"
"DESYATOCHKA","""ИП ТАРАКАНОВА ИРИНА ВИКТОРОВНА   ""","MUST","2","2"
