"database_name","schema_name","table_name","object_type","categories","matched_columns","approximate_rows","modify_date"
"HnnDW","dbo","Dim_POSList","TABLE","Сети и клиенты; ТТ, маршруты и визиты","ADDRESS; CLIENT; ClientName; CUSTOMER_GROUP; ROUTE_NAME","639348","15.04.2026 16:16:35"
"HnnDW","dbo","DIM_Survey","TABLE","ТТ, маршруты и визиты","VisitRelated","81","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing","VIEW","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","0","31.08.2026 23:00:22"
"HnnDW","dbo","Fact_Facing_202211","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","2744","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202212","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","461233","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202301","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","1327697","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202302","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","13010777","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202303","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","35922129","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202304","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","53196295","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202305","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","59596226","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202306","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","51985390","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202307","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","65806335","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202308","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","97005171","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202309","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","88055935","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202310","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","85080936","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202311","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","87007548","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202312","TABLE","KPI; ТТ, маршруты и визиты","PICOS; ROUTE_TYPE; VISIT_DATE; VISIT_ID; VISIT_IS_PLANED; VISIT_LINK; VISIT_STATUS","84551831","15.04.2026 16:16:36"
