"database_name","schema_name","table_name","object_type","column_id","column_name","data_type","max_length","precision","scale","is_nullable"
"HnnDW","dbo","DIM_Agents","TABLE","1","Masterfid","int","4","10","0","False"
"HnnDW","dbo","DIM_Agents","TABLE","2","Name","nvarchar","200","0","0","True"
"HnnDW","dbo","DIM_Agents","TABLE","3","ShortName","nvarchar","200","0","0","True"
"HnnDW","dbo","DIM_Agents","TABLE","4","Activeflag","int","4","10","0","True"
"HnnDW","dbo","DIM_Agents","TABLE","5","Exid","nvarchar","200","0","0","True"
"HnnDW","dbo","DIM_Agents","TABLE","6","Agency_Name","nvarchar","200","0","0","True"
"HnnDW","dbo","DIM_Attributes","TABLE","1","AttrID","int","4","10","0","True"
"HnnDW","dbo","DIM_Attributes","TABLE","2","AttrName","nvarchar","510","0","0","True"
"HnnDW","dbo","DIM_Attributes","TABLE","3","AttrExid","nvarchar","100","0","0","True"
"HnnDW","dbo","DIM_Attributes","TABLE","4","AttrValueID","int","4","10","0","True"
"HnnDW","dbo","DIM_Attributes","TABLE","5","AttrValueName","nvarchar","510","0","0","True"
"HnnDW","dbo","DIM_Attributes","TABLE","6","AttrTypeID","int","4","10","0","True"
"HnnDW","dbo","DIM_Attributes","TABLE","7","AttrvalueExid","nvarchar","100","0","0","True"
"HnnDW","dbo","DIM_Matrix","TABLE","1","Matrixid","int","4","10","0","True"
"HnnDW","dbo","DIM_Matrix","TABLE","2","Matrixname","nvarchar","500","0","0","True"
"HnnDW","dbo","DIM_Matrix","TABLE","3","MatrixExid","nvarchar","100","0","0","True"
"HnnDW","dbo","DIM_Matrix","TABLE","4","Activeflag","int","4","10","0","True"
"HnnDW","dbo","DIM_Matrix","TABLE","5","MatrixDelDatetime","datetime","8","23","3","True"
"HnnDW","dbo","DIM_OOS_Reason","TABLE","1","ReasonId","int","4","10","0","True"
"HnnDW","dbo","DIM_OOS_Reason","TABLE","2","ReasonName","nvarchar","500","0","0","True"
"HnnDW","dbo","DIM_OOS_Reason","TABLE","3","ReasonExid","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","1","SHIP_TO","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","2","RSD","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","3","BUSINESS_UNIT","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","4","SALES_GROUP","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","5","CITY","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","6","ADDRESS","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","7","CHANNEL","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","8","CLIENT","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","9","CUSTOMER_GROUP","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","10","LATITUDE","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","11","LONGITUDE","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","12","ROUTE_NAME","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","13","AGENCY_NAME","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","14","fid","int","4","10","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","15","ClientName","nvarchar","500","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","16","ActiveFlag","int","4","10","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","17","Proxi_Category_1","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_POSList","TABLE","18","GMT","int","4","10","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","1","iid","int","4","10","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","2","POSM_Code","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","3","Posm_Name","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","4","Posm_Name_RU","nvarchar","200","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","5","Posm_Type","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","6","Posm_Type_RU","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","7","Posm_Type_CD","nvarchar","200","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","8","Posm_BRAND","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","9","Posm_BRAND_RU","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","10","Posm_BRAND_CD","nvarchar","200","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","11","PRODUCT_NATURE_ID","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_Posms","TABLE","12","Activeflag","int","4","10","0","True"
"HnnDW","dbo","Dim_Products","TABLE","1","PRODUCT_NATURE_CD","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","2","PRODUCT_NATURE","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","3","PRODUCT_NATURE_RU","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","4","SUBFAMILY_CD","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","5","SUBFAMILY","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","6","TYPE_CD","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","7","TYPE","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","8","BRAND_TYPE_CD","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","9","BRAND_TYPE","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","10","BRAND_CD","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","11","BRAND","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","12","AREA_CD","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","13","AREA","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","14","CATEGORY_CD","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","15","CATEGORY","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","16","PRODUCT_WIDTH","int","4","10","0","True"
"HnnDW","dbo","Dim_Products","TABLE","17","PRODUCT_HEIGHT","int","4","10","0","True"
"HnnDW","dbo","Dim_Products","TABLE","18","CATEGORY_NAME","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","19","PRODUCER","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","20","SKU_VOLUME","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","21","PACKING_SIZE","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","22","PLU","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","23","BARCODE","varchar","250","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","24","iid","int","4","10","0","True"
"HnnDW","dbo","Dim_Products","TABLE","25","AREA_RU","varchar","255","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","26","CATEGORY_RU","varchar","255","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","27","BRAND_RU","varchar","255","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","28","BRAND_TYPE_RU","varchar","255","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","29","TYPE_RU","varchar","255","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","30","SUBFAMILY_RU","varchar","255","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","31","PRODUCT_NATURE_ID","nvarchar","100","0","0","True"
"HnnDW","dbo","Dim_Products","TABLE","32","Activeflag","int","4","10","0","True"
"HnnDW","dbo","DIM_Survey","TABLE","1","SurveyID","int","4","10","0","True"
"HnnDW","dbo","DIM_Survey","TABLE","2","SurveyName","nvarchar","510","0","0","True"
"HnnDW","dbo","DIM_Survey","TABLE","3","StartDate","datetime","8","23","3","True"
"HnnDW","dbo","DIM_Survey","TABLE","4","EndDate","datetime","8","23","3","True"
"HnnDW","dbo","DIM_Survey","TABLE","5","VisitRelated","int","4","10","0","True"
"HnnDW","dbo","DIM_Survey","TABLE","6","ActiveFlag","int","4","10","0","True"
"HnnDW","dbo","DIM_Survey","TABLE","7","Survey_Agency_Name","nvarchar","500","0","0","True"
"HnnDW","dbo","Dim_Survey_Questions","TABLE","1","SurveyID","int","4","10","0","True"
"HnnDW","dbo","Dim_Survey_Questions","TABLE","2","SectionID","int","4","10","0","False"
"HnnDW","dbo","Dim_Survey_Questions","TABLE","3","QuestionID","int","4","10","0","False"
"HnnDW","dbo","Dim_Survey_Questions","TABLE","4","QuestionName","nvarchar","510","0","0","True"
"HnnDW","dbo","Dim_Survey_Questions","TABLE","5","ActiveFlag","int","4","10","0","True"
"HnnDW","dbo","Dim_Survey_Questions","TABLE","6","Survey_Agency_Name","nvarchar","500","0","0","True"
"HnnDW","dbo","DIM_Survey_Sections","TABLE","1","SurveyID","int","4","10","0","True"
"HnnDW","dbo","DIM_Survey_Sections","TABLE","2","SectionID","int","4","10","0","False"
"HnnDW","dbo","DIM_Survey_Sections","TABLE","3","SectionName","nvarchar","510","0","0","True"
"HnnDW","dbo","DIM_Survey_Sections","TABLE","4","ActiveFlag","int","4","10","0","True"
"HnnDW","dbo","DIM_Survey_Sections","TABLE","5","Survey_Agency_Name","nvarchar","500","0","0","True"
"HnnDW","dbo","DS_ExecutedScripts","TABLE","1","ScriptGUID","uniqueidentifier","16","0","0","True"
"HnnDW","dbo","DS_ExecutedScripts","TABLE","2","ScriptExecDate","datetime","8","23","3","True"
"HnnDW","dbo","DW_Options","TABLE","1","OptionID","int","4","10","0","False"
"HnnDW","dbo","DW_Options","TABLE","2","Val","nvarchar","510","0","0","True"
"HnnDW","dbo","DW_Options","TABLE","3","Comment","nvarchar","2000","0","0","True"
"HnnDW","dbo","DW_Options","TABLE","4","Ident","nvarchar","510","0","0","True"
"HnnDW","dbo","DW_Options","TABLE","5","Valint","int","4","10","0","True"
"HnnDW","dbo","DW_Options","TABLE","6","ChangeDate","datetime","8","23","3","True"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","1","Fid","int","4","10","0","False"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","2","AttrID","int","4","10","0","False"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","3","AttrValueID","int","4","10","0","True"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","4","AttrText","nvarchar","-1","0","0","True"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","5","StartDate","datetime","8","23","3","False"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","6","EndDate","datetime","8","23","3","True"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","7","AgencyName","nvarchar","510","0","0","True"
"HnnDW","dbo","FACT_Faces_Attributes_History","TABLE","8","RecordID","int","4","10","0","False"
