"AttrName","AttrExid","AttrTypeID","value_rows","attribute_values"
"BUSINESS UNIT","BUSINESS_UNIT","1","36","36"
"MagnitAlert_is_available","MagnitAlert_is_available","1","2","2"
"MagnitAlert_is_virtual_rest_risk","MagnitAlert_is_virtual_rest_risk","1","2","2"
"TOP_Region","TOP_Region","1","36","36"
"Алерты","AlertType","1","5","5"
"Возможность одновременной работы с несколькими базами","","3","1","1"
"Кол-во других товаров в матрице","OtherMatrixSKUCount","2","1","1"
"Кол-во растительных товаров в матрице","PlantMatrixSKUCount","2","1","1"
"Кол-во современных товаров в матрице","ModernMatrixSKUCount","2","1","1"
"Кол-во товаров детского питания в матрице","BabyMatrixSKUCount","2","1","1"
"Кол-во товаров немолочного детского питания в матрице","BabyNoMilkMatrixSKUCount","2","1","1"
"Кол-во традиционных товаров в матрице","TradyMatrixSKUCount","2","1","1"
"Кол-во фейсов растительных товаров на ТП","StandartFacing_PLANT-BASED_Total_WS","2","1","1"
"Кол-во фейсов современных товаров на TG","StandartFacing_MODERN_TG_CS","2","1","1"
"Кол-во фейсов современных товаров на ХП","StandartFacing_MODERN_Total_CS","2","1","1"
"Кол-во фейсов товаров детского питания на ХП","StandartFacing_BABY_Total_CS","2","1","1"
"Кол-во фейсов товаров немолочного детского питания на ТП","StandartFacing_NDP_Total_WS","2","1","1"
"Кол-во фейсов традиционных товаров на TG","StandartFacing_TRADI_TG_CS","2","1","1"
"Кол-во фейсов традиционных товаров на ТП","StandartFacing_TRADI_Total_WS","2","1","1"
"Кол-во фейсов традиционных товаров на ХП","StandartFacing_TRADI_Total_CS","2","1","1"
"Новинка","INNO","3","1","1"
"Отчеты супервайзера","","1","5","5"
"Плановое кол-во оборудования на точке","Plan_POSM","2","1","1"
"Полный путь к архиватору","","0","1","1"
"Причина отказа от поставки","","1","1","1"
"Продуктовая матрица","ProductMatrix","1","64877","64877"
"Сегмент ТТ","Segment_TT","1","36","36"
"Сегмент ТТ – TOP","Сегмент ТТ – TOP","1","26","26"
"Форм-ть журнал действий сотр-ка (бит.маска): 0(+)-нет; 1-работа с док-ми; 2-GPS; 4-вкл\выкл GPS; 8-форм-е отчетов; 16 - логирование синхры","PDA_Log","2","1","1"
