"AttrID","AttrName","AttrExid","AttrValueID","AttrValueName","AttrvalueExid","AttrTypeID"
"690","TOP_Region","TOP_Region","650944","#","","1"
"690","TOP_Region","TOP_Region","666762","#","#","1"
"690","TOP_Region","TOP_Region","643943","#to be loaded","#1","1"
"690","TOP_Region","TOP_Region","643947","BU AZERBAIDJAN","BO","1"
"690","TOP_Region","TOP_Region","643944","BU BELARUS","B0","1"
"690","TOP_Region","TOP_Region","230423","BU CENTER SIBERIA","SE","1"
"690","TOP_Region","TOP_Region","230436","BU EAST SIBERIA","SB","1"
"690","TOP_Region","TOP_Region","230474","BU EKATERINBURG","SD","1"
"690","TOP_Region","TOP_Region","643951","BU FAR EAST","SC","1"
"690","TOP_Region","TOP_Region","643946","BU GEORGIA","BN","1"
"690","TOP_Region","TOP_Region","643945","BU KAZAKHSTAN","BM","1"
"690","TOP_Region","TOP_Region","190437","BU KRASNODAR","S8","1"
"690","TOP_Region","TOP_Region","140798","BU MOSCOW (CITY)","SI","1"
"690","TOP_Region","TOP_Region","111001","BU MOSCOW REGION","SJ","1"
"690","TOP_Region","TOP_Region","230160","BU N.NOVGOROD","S3","1"
"690","TOP_Region","TOP_Region","230476","BU NORTH CAUCASIAN","S5","1"
"690","TOP_Region","TOP_Region","230184","BU NW REGION","SK","1"
"690","TOP_Region","TOP_Region","643949","BU OREL","S6","1"
"690","TOP_Region","TOP_Region","643950","BU SAMARA","S7","1"
"690","TOP_Region","TOP_Region","111208","BU SOUTH URAL","SN","1"
"690","TOP_Region","TOP_Region","110985","BU ST. PETERBURG","SL","1"
"690","TOP_Region","TOP_Region","230469","BU TULA","SM","1"
"690","TOP_Region","TOP_Region","643952","BU VLADIMIR","SO","1"
"690","TOP_Region","TOP_Region","230422","BU VOLGA","S2","1"
"690","TOP_Region","TOP_Region","111757","BU VOLGOGRAD","S4","1"
"690","TOP_Region","TOP_Region","643948","BU VORONEZH","S1","1"
"690","TOP_Region","TOP_Region","110986","BU WEST SIBERIA","SH","1"
"690","TOP_Region","TOP_Region","651771","MOSCOW","SX","1"
"690","TOP_Region","TOP_Region","643942","Not Available","##","1"
"690","TOP_Region","TOP_Region","652851","Null","Null","1"
"690","TOP_Region","TOP_Region","651769","SIBERIA","SV","1"
"690","TOP_Region","TOP_Region","651770","SOUTH","","1"
"690","TOP_Region","TOP_Region","666763","SOUTH","SW","1"
"690","TOP_Region","TOP_Region","651768","URAL","ST","1"
"690","TOP_Region","TOP_Region","651767","VOLGA","SS","1"
"690","TOP_Region","TOP_Region","651772","WEST","SY","1"
"611","Продуктовая матрица","ProductMatrix","635756","DESYATOCHKA_KOS_5_OSA_PC (1771290780)","1771290780","1"
"611","Продуктовая матрица","ProductMatrix","649184","DESYATOCHKA_KOS_6_OSA_PC (1771290781)","1771290781","1"
"611","Продуктовая матрица","ProductMatrix","784609","HOROSHIY_TOPKI_MKR_SOLNECHNII_10_CAR","matrix_784609","1"
"611","Продуктовая матрица","ProductMatrix","137284","MARIA RA_EAST_TOPKI_KRASNAYA GORKA 2_PC(...424552)","1692424552","1"
"611","Продуктовая матрица","ProductMatrix","226459","MARIA RA_EAST_TOPKI_REVOLUCII 36_PC (1627732399)","1627732399","1"
"611","Продуктовая матрица","ProductMatrix","189539","OKEY_SERGIEVPOSAD_CAR","1632235732","1"
"611","Продуктовая матрица","ProductMatrix","186194","ROSA_SIBERIA_KRASNOYARSK_F1_PC (1084011725)","1084011725","1"
"611","Продуктовая матрица","ProductMatrix","226593","ROSA_SIBERIA_KRASNOYARSK_F2_PC","1052901319","1"
"611","Продуктовая матрица","ProductMatrix","110491","UDACHA_IRK_F_ST_TOPKINSKY_39_PC (1389010895)","1389010895","1"
"1906","Сегмент ТТ","Segment_TT","722709","OSA_DISCOUNTER","OSA_DISCOUNTER","1"
"1906","Сегмент ТТ","Segment_TT","902581","OSA_HYPERMARKET L","OSA_HYPERMARKET L","1"
"1906","Сегмент ТТ","Segment_TT","782938","OSA_HYPERMARKET S","OSA_HYPERMARKET S","1"
"1906","Сегмент ТТ","Segment_TT","737681","OSA_MINIMARKET L","OSA_MINIMARKET L","1"
"1906","Сегмент ТТ","Segment_TT","909856","OSA_MINIMARKET SM","OSA_MINIMARKET SM","1"
"1906","Сегмент ТТ","Segment_TT","972546","OSA_SUPERMARKET ML","OSA_SUPERMARKET ML","1"
"1906","Сегмент ТТ","Segment_TT","977332","OSA_SUPERMARKET S","OSA_SUPERMARKET S","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637070","BabyStore","TOP_BabyStore","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637071","DISCOUNTER","TOP_DISCOUNTER","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637065","HYPERMARKET","TOP_HYPERMARKET","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652915","HYPERMARKET L","TOP_HYPERMARKET L","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652891","HYPERMARKET S","TOP_HYPERMARKET S","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637063","HYPERMARKET_Capital","TOP_HYPERMARKET_Capital","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637069","MINIMARKET","TOP_MINIMARKET","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652916","MINIMARKET L","TOP_MINIMARKET L","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652917","MINIMARKET M","TOP_MINIMARKET M","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652919","MINIMARKET S","TOP_MINIMARKET S","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637066","MINIMARKET_Capital","TOP_MINIMARKET_Capital","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","653474","OSA_DISCOUNTER","TOP_OSA_DISCOUNTER","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","653477","OSA_MINIMARKET L","TOP_OSA_MINIMARKET L","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","653478","OSA_MINIMARKET SM","TOP_OSA_MINIMARKET SM","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637067","Other","TOP_Other","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637068","SUPERMARKET","TOP_SUPERMARKET","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652920","SUPERMARKET L","TOP_SUPERMARKET L","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652921","SUPERMARKET M","TOP_SUPERMARKET M","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652922","SUPERMARKET S","TOP_SUPERMARKET S","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","637064","SUPERMARKET_Capital","TOP_SUPERMARKET_Capital","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","670349","SYNERGY_DC","TOP_SYNERGY_DC","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","670350","SYNERGY_HM S","TOP_SYNERGY_HM S","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","670353","SYNERGY_MM L","TOP_SYNERGY_MM L","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","670354","SYNERGY_MM SM","TOP_SYNERGY_MM SM","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","670355","SYNERGY_SM S","TOP_SYNERGY_SM S","1"
"3100","Сегмент ТТ – TOP","Сегмент ТТ – TOP","652414","ОШИБКА BABYSTOR","","1"
